content,aspect,sentiment,from,to
"we are very particular about sushi and were both please with every choice which included: ceviche mix (special) , crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.",ceviche mix (special),2,90,111
"the view is spectacular, and the food is great.",view,2,4,8
the sweet lassi was excellent as was the lamb chettinad and the garlic naan but the rasamalai was forgettable.,garlic naan,2,64,75
one should not go to lucky strike for the food .,food,0,42,46
the dish had like 6 pieces of beef in it.,dish,1,4,8
the soup for the udon was soy sauce and water.,soup for the udon,0,4,21
"aside from the sea urchin, the chef recommended an assortment of fish including fatty yellow tail, boton shrimp, blue fin torro (fatty tuna), sea eel, etc.",chef,1,31,35
"i recommend the garlic shrimp , okra (bindi), and anything with lamb.",garlic shrimp,2,16,29
"i had the cod with paella (spicy and very filling, i'm a big eater and could only eat half) while my boyfriend had the classic fish and chips (again, a big serving - at least 5 pieces of fish and a basketful of fries).",fish,1,187,191
food is excellent.,food,2,0,4
the buffet had a nice selection .,selection,2,22,31
i went with 5 friends and we lingered at the table for a bit and didn't feel rushed at all even though there was a wait.,table,1,45,50
knowledge of the chef and the waitress are below average.,chef,0,17,21
"delicious food, excellent service, and a pretty atmosphere make this a great choice for dinner and the $5.99 lunch buffet makes it an even better choice for lunch !",lunch,2,157,162
"($200 for 2 glasses of champagne, not too expensive bottle of wine and 2 after dinner drinks).",bottle of wine,0,52,66
delicious food at a great price but do not go here on a cold day and sit by the front door.,price,2,26,31
until you realize that their five minutes is meaningless and your wait may be anywhere from two to twenty minutes it may be frustrating.,wait,0,66,70
"first the wrong bread came out with the appetizer, then when i tried to order a second glass of wine for my main course ...",main course,1,108,119
i have been to spice three times- twice during lunch and once at dinner .,dinner,1,65,71
"i had a terrific meal, and our server guided us toward a very nice wine in our price range, instead of allowing us to purchase a similarly priced wine that wasn't as good.",priced,1,139,145
wait staff is blantently unappreciative of your business but its the best pie on the uws!,pie,2,74,77
we thought that this place is using too much of msg cooking in the foods.,msg cooking,0,48,59
from the complimentary chef app of a delicate butternut squash ravioli in a delicious truffle sauce to an amazing buttery and tender langostine entree to a dessert that i can't remember because of the fabulous cakebread cabernet we were drinking -- the whole evening was amazing.,delicate butternut squash ravioli in a delicious truffle sauce,2,37,99
try the olive cream cheese or the lox spread on a whole wheat everything bagel .,bagel,1,73,78
this little place has a cute interior decor and affordable city prices.,interior decor,2,29,43
i loved everythig about it-especially the shows and actors .,actors,2,52,58
we were planning to get dessert but the waitress basically through the bill at us before we had a chance to order.,dessert,1,24,31
"my entree of hot pot with seafood was full of imitation crabmeat with a couple pieces of shrimp and squid, and was unnecessarily heated with a burner.",entree,2,3,9
"we only ordered desserts and drinks, but no refills were offered.",desserts,1,16,24
"delicate spices, onions, eggs and a kick-ass roti .",roti,2,45,49
i am not sure if i would call the food here indian as it is a fusion of what seems to be french with an indian or exotic touch.,food,1,34,38
"largest and freshest pieces of sushi , and delicious!",pieces of sushi,2,21,36
"it may be a bit packed on weekends, but the vibe is good and it is the best french food you will find in the area.",french food,2,76,87
ballato's is consistently delicious authentic italian food .,italian food,2,46,58
moderate prices .,prices,1,9,15
we got a little tipsy from the sake but isn't that what saturday nights with the girlfriends are all about?,sake,1,31,35
"otherwise, good stuff for late nite eats.",stuff,2,16,21
"and it all comes at a very reasonable price ( congee , noodles, and rice dishes are no more than $3-6 each).",congee,1,46,52
"we love the food, drinks , and atmosphere!",drinks,2,18,24
the steak was excellent and one of the best i have had (i tasted the butter intitally but in no way did it overwhelm the flavor of the meat).,flavor,1,121,127
"the menu changed, portions were even smaller than before, a lentil dish was salty beyond edibility, a basmati rice dish lacked flavor.",portions,0,18,26
"the food was delicious, the atmosphere was relaxed, and we have now adopted plate 347 as our secret on second!",atmosphere,2,28,38
you can get an excellent meal at most of the many indian restaurants on nearby lexington avenue for the cost of one the dainty dishes here.,dishes,2,127,133
"admittedly, this is not the place for gigantic pieces of fish overflowing the plate (and thank goodness, in my opinion) but for simple, elegant sushi there is no better place in new york or anywhere in the us.",sushi,2,144,149
the sides were ok and incredibly salty.,sides,0,4,9
the people that work there are always so friendly you forget you are in new york sometimes.,people,2,4,10
"the red curry is weak and tasteless, the pad thai is stuck together and lumpy, the rice is often overcooked, and the seafood is pretty sketchy.",seafood,0,117,124
monday nights are a bargain at the $28 prix fix - this includes a three course meal plus *three* glasses of wine paired with each course .,course,1,130,136
the singapore mai fun had no curry flavor whatsoever.,singapore mai fun,0,4,21
pastrami or corned beef are juicy and piled high (ask for extra rye bread ).,rye bread,2,64,73
the place was nice and calm.,place,2,4,9
i complete the total bagel experience by having it lightly toasted.,bagel,2,21,26
"the dinner was ok, nothing i would have again.",dinner,0,4,10
"great wine selection, gigondas is worth the price, and the house champagne is a great value.",gigondas,2,22,30
they have a very diverse menu so its something for everybody.,menu,2,25,29
deep fried skewers are good and still rare to find in nyc.,deep fried skewers,2,0,18
no one asked what was wrong as we left with nothing touched on our plates .,plates,1,67,73
cheese plate is a varied delight and great bargain at $10.,cheese plate,2,0,12
when we were finally seated our waitress came by twice-1 for our order and 2-for our check .,check,1,85,90
for the next hour and a half we stood in the crowded lobby area of this touristy restaurant listening to all types of explanations of why we were not being seated .,seated,0,156,162
people are rude bit again it's new york!,people,0,0,6
joe's pizza used to have the best slice until this pizzeria opened up.,slice,2,34,39
"the first time i went, and was completely taken by the live jazz band and atmosphere , i ordered the lobster cobb salad.",atmosphere,2,74,84
"three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing , and a hanger steak au poivre that is out of this world.",salad with a delicious dressing,2,79,110
best drumsticks over rice and sour spicy soup in town!,drumsticks over rice,2,5,25
incredibly poor service an food quality at exorbitant prices .,prices,0,54,60
and i would have to agree with the masses in terms of service - delivery is their achilles' heel.,service,0,54,61
"i am not the most experienced person when it comes to thai food , but my friend who took me there is.",thai food,1,54,63
"great wine selection , gigondas is worth the price, and the house champagne is a great value.",wine selection,2,6,20
we had a wonderful meal at naples 45 a month ago on a visit to nyc.,meal,2,19,23
our family never expected such incredible entertainment in a restaurant.,entertainment,2,42,55
"the red curry is weak and tasteless, the pad thai is stuck together and lumpy, the rice is often overcooked, and the seafood is pretty sketchy.",rice,0,83,87
"fluke sashimi drizzled with jalapeno-lime olive oil, the fruit of the oil nicely highlighting the fish's sweetness.",fluke sashimi,2,0,13
"this is such a lovely, peaceful place to eat outside.",place,2,32,37
i've dined at alain ducasse's restaurant in monte carlo for half the price for the same excellent dining experience.,dining,2,98,104
they used shredded cheese on top!,shredded cheese,1,10,25
not too crazy about their sake martini .,sake martini,0,26,38
the thai food is good.,thai food,2,4,13
the atmosphere is noisy and the waiters are literally walking around doing things as fast as they can.,atmosphere,0,4,14
the bagels are fabulous.,bagels,2,4,10
food and service was okay.,food,1,0,4
i recommend this spot to anyone who enjoys  fine cuisine at reasonable prices .,prices,2,71,77
two words: free wine .,wine,2,16,20
"barbecued codfish was gorgeously moist - as if poached - yet the fabulous texture was let down by curiously bland seasoning - a spice rub might have overwhelmed, however herb mix or other sauce would have done much to enhance.",seasoning,0,114,123
"we shared a bottle of sake, an order of edamames, and she had the sushi plate while i had the sashimi .",sashimi,1,94,101
"this wasn't the expected menu comprised only of pad thai and tom yum soup , but i thought that was what made the place so special.",tom yum soup,1,61,73
the portions are large and the servers always surprise us with a different starter.,portions,2,4,12
it is also extremely well priced .,priced,2,26,32
"my gf and i still choose to eat there a lot because of diverse cocktails , the chill decor, and the decent sushi.",cocktails,2,63,72
"good to find a restaurant where the owners have some imagination and they have actually pulled it off, like in this case.",owners,2,36,42
"my husband said he could've eaten several more, the portion was fine for me he even exclaimed that the french fries were the best he has had.",french fries,2,103,115
"if anyones has doubt of not knowing enough about wines ,please check their wine list.",wines,1,49,54
"we have never had any problems with charging the meal or the tip, and the food was delivered quickly, but we live only a few minutes walk from them.",food,2,74,78
"the staff was accomodating, the food was absolutely delicious and the place is lovely.",food,2,32,36
"first off, the waitress was completely unattentive the 2 times we saw her(odd in a restaurant with 6 tables) and got our order wrong.",waitress,0,15,23
the hostess is rude to the point of being offensive.,hostess,0,4,11
"the signs, the specials menus, food, and even all the waitstaff are all totally japanese.",waitstaff,2,54,63
they charge different prices all the time.,prices,0,22,28
this place would be so much better served by being run by a group that actually understands customer service.,served,0,35,41
"next time, we wouldn't dare ordering anything else other than some simple asian appetizers and drinks .",drinks,2,95,101
"if you're not familiar with the cuisine , you may encounter problems ordering here and be sure to bring plenty of cash with you as they don't accept credit cards.",cuisine,0,32,39
"the prices cannot be beat for the quality, quantity, freshness and taste.",freshness,2,53,62
"i had their eggs benedict for brunch , which were the worst in my entire life, i tried removing the hollondaise sauce completely that was how failed it was.",brunch,1,30,36
food and service was okay.,service,1,9,16
"to my right, the hostess stood over a busboy and hissed rapido, rapido as he tried to clear and re-set a table for six.",hostess,0,17,24
"the service is always bad though, don't expect much of anything from your server, and i would not recommend bringing a date here either.",service,0,4,11
"service was excellent, and the ac worked very well too (thank god, it was hot!).",ac,2,31,33
"great friendly service, fast seating, fast delivery , excellent sushi.",delivery,2,43,51
"emilio, the owner , is often sitting in the front table greeting guests as they come and go.",owner,2,12,17
"warm, comfortable surroundings , nice appointments (witness the etched glass and brickwork separating the dining rooms).",surroundings,2,18,30
try their plain pizza with fresh garlic or eggplant .,eggplant,2,43,51
the fish is fresh and each piece is sliced to perfection and seasoned by the sushi chef (usually with a little fresh wasabi and soy sauce but also sometimes with some sea salt).,soy sauce,2,128,137
"super friendly and knowledgable staff, fabulous bistro fare and a wonderful jazz brunch with great live jazz (the chilaquiles were awesome!",live jazz,2,99,108
"the flavors are great, and the menu is extensive.",flavors,2,4,11
"you will pay a lot for the decore , but the food is no better or worse than a lot of other chinese and asian fusion places in ny.",decore,0,27,33
after my 3rd time the manager remembered me and treated me like an usual customer.,manager,2,22,29
"we started with lox and mussels (the best ive ever had, ever) and had the cod and trout for dinner .",dinner,1,92,98
prices are very good.,prices,2,0,6
"but don't ever order bacon late at nite (either platter or in sandwiches, for that matter don't from any take out place) as it is from the morning frying turns out hard almost like bacos, hurt my molars.",bacon,0,21,26
"each table has a pot of boiling water sunken into its surface, and you get platters of thin sliced meats, various vegetables , and rice and glass noodles.",vegetables,1,114,124
"our waiter was fine, the place looks nice in that not-trying-too-hard way, but at those prices , a little more should be expected of your food.",prices,0,88,94
the owners and employees are friendly and their pizza is fantastic.,owners,2,4,10
"while the place is not a hotspot hangout, the drinks are unique and pack a lot of bang for the buck.",place,0,10,15
great pizza and fantastic service .,service,2,26,33
after really enjoying ourselves at the bar we sat down at a table and had dinner.,bar,2,39,42
all we received was an apology as we left to see our show without dinner .,dinner,1,66,72
"they did not have mayonnaise, forgot our toast , left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",toast,0,41,46
"we were still sitting at the bar while we drank the sangria, but facing away from the bar when we turned back around, the $2 was gone the people next to us said the bartender took it.",bar,1,29,32
"great food (spinach and corn dumplings and massamman curry ), very friendly and no nonsense service and a clean and funky bathroom.",massamman curry,2,43,58
"i stumbled upon this second floor walk-up two fridays ago when i was with two friends in town from l.a. being serious sushi lovers, we sat at the sushi bar to be closer to the action.",sushi,1,118,123
as we were sitting eating the subpar food the manager proceeded to berate a couple of his employees for putting out the wrong containers for condiments and explained to them how expensive these containers were.,containers,1,194,204
we were walking around the village and went into this place just for some drinks .,drinks,1,74,80
"while the staff at this little bistro is very friendly, i have never experienced more incompetency.",staff,2,10,15
"the food is o.k., but not any better than what you get at a good neighborhood restaurant.",food,1,4,8
they need a kick out of it but until then the sushi is pretty good and the place is consistent.,sushi,2,46,51
"however, their popularity has yet to slow down, and i still find myself drawn to their ambiance and delectable reputation.",ambiance,2,87,95
incredible food at a very agreable price brings me back just about every other day to this authentic thai restaurant.,food,2,11,15
the dining room is quietly elegant with no music to shout over -- how refreshing!,music,2,43,48
"the menu changed, portions were even smaller than before, a lentil dish was salty beyond edibility, a basmati rice dish lacked flavor.",menu,0,4,8
"the food was really good, i had the onion soup and it was one of the best ever.",onion soup,2,36,46
they didn't give us the dinner special until we asked for it.,dinner special,0,24,38
"similar to other indian restaurants, they use the dinner special to attract customers at the door.",dinner special,1,50,64
"found service above average, but that could be because we were 13 of us.",service,2,6,13
the lobster sandwich is good and the spaghetti with scallops and shrimp is great.,spaghetti with scallops and shrimp,2,37,71
"delicious food, excellent service, and a pretty atmosphere make this a great choice for dinner and the $5.99 lunch buffet makes it an even better choice for lunch!",dinner,2,88,94
"if you love seafood , you would love this place!",seafood,2,12,19
"great spot , whether looking for a couple of drinks or quiet dinner.",spot,2,6,10
"to my right, the hostess stood over a busboy and hissed rapido, rapido as he tried to clear and re-set a table for six.",table,1,105,110
i go back in line like three times on average until i can't walk anymore.,line,0,13,17
i have never better enjoyed humble root vegetables or a mushroom consomme - and this chef accomplishes without fats.,chef,2,85,89
i had the best ravioli ever.,ravioli,2,15,22
love the atmosphere - felt like i was in paris.,atmosphere,2,9,19
if i wanted to deal with a crappy scene and annoying customers i'd go out in manhattan.,customers,0,53,62
"- the bread at the beginning is super tasty and makes you want more - the pizza is delicious and comes in personal sizes, however be warned that the peter's favourite pizza with prosciutto and baby arugula is actually a margarite pizza with cold prosciutto and baby arugula on top , like a salad.",margarite pizza with cold prosciutto and baby arugula on top,1,220,280
"we parked on the block of nina's the place looked nice, with people obviously enjoying their pizzas.",place,2,37,42
ambiance is barely romantic but management tries.,ambiance,0,0,8
"we didn't even see a menu , as our waiter described both the specials and the main dishes.",menu,1,21,25
the pizza is the best if you like thin crusted pizza.,pizza,2,4,9
the only disappointment was the coat check girls who didn't seem to know what a customer is on a realtively non-busy night (for the coat check girls).,coat check girls,0,32,48
"a cheap eat for nyc, but not for dosa .",dosa,0,33,37
the pizza was really good.,pizza,2,4,9
i have never better enjoyed humble root vegetables or a mushroom consomme - and this chef accomplishes without fats.,mushroom consomme,2,56,73
"i haven't eat a lamb chop as delicious as that,the salads are really nice dressed with lemon and extra virgnin olive oil .",extra virgnin olive oil,2,97,120
"check it out, it won't hurt your stomach or your wallet.",stomach,2,33,40
and at the conclusion of this culinary nightmare the check was given to our table by knocking over a glass of water.,check,1,53,58
"when you're sitting in their main dining room (which has a spectacular, hand-painted high ceiling) you'd never know there was a world outside.",main dining room,2,29,45
"yes, there might be a wait if you have no reservations.",wait,0,22,26
"my picks: guizhou chicken , fish with hot bean source, fish fillet in spicy source (special menu).",guizhou chicken,2,10,25
"the service is excellent, the decor is great, and the food is delicious and comes in large portions.",decor,2,30,35
"while the prices are nothing special, the portions are huge.",portions,2,42,50
my husband and i enjoyed each of the 6 taste size portions and left completely full.,portions,2,50,58
as we were sitting eating the subpar food the manager proceeded to berate a couple of his employees for putting out the wrong containers for condiments and explained to them how expensive these containers were.,manager,0,46,53
"when my dessert came, there was a candle in it - not because anyone asked for one - but because the waiter must have seen me opening my birthday card and gift, and said he knew it was a special occassion of some sort.",waiter,2,100,106
delicious food at a great price but do not go here on a cold day and sit by the front door.,food,2,10,14
we had champagne and caviar and felt like princesses!,caviar,2,21,27
best pastrami i ever had and great portion without being ridiculous.,pastrami,2,5,13
we were disappointed with the pre-fixe menu of only 2 choices per course (other restaurants offer 3 choices) and ended up ordering a la carte.,pre-fixe menu,0,30,43
"great wine selection, gigondas is worth the price, and the house champagne is a great value.",house champagne,2,59,74
"they did give a 15% discount at the end, wasn't enough, as they knew the service was horrible.",discount,0,20,28
i recommend the meatballs and caprese salad and the beans on toast were a wonderful start to the meal!,caprese salad,2,30,43
"yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",crust,1,122,127
"if you love wine and cheese and delicious french fare, you'll love artisanal!",cheese,2,21,27
"toons has recently been redone, so it's now a very attractive space .",space,2,62,67
with the theater 2 blocks away we had a delicious meal in a beautiful room.,meal,2,50,54
"small servings for main entree, i had salmon (wasnt impressed) girlfriend had chicken, it was good.",servings,0,6,14
"(food was delivered by a busboy, not waiter) we got no cheese offered for the pasta, our water and wine glasses remained empty our entire meal, when we would have easily spent another $20 on wine .",wine,1,191,195
"only wine and beer are served, but the house varities are actually quite good.",beer,1,14,18
go to volare for 1st class service and terrific food .,food,2,48,52
"good music, great food , speedy service affordable prices.",food,2,18,22
"this place doesn't compare with mamoun's in terms of price, freshness , value, and consisent quality, but that's just my opinion.",freshness,0,60,69
"good music , great food, speedy service affordable prices.",music,2,5,10
we had the scallops as an appetizer and they were delicious and the sauce was wonderful.,appetizer,2,26,35
"the food was not fresh, the sauces were bland and very oily.",sauces,0,28,34
the food was average or above including some surprising tasty dishes .,dishes,2,62,68
"you don't go to mizu for excellent service, you go for the large amounts of food , the amiable atmosphere, and the hole-in-the-wall feeling of the place.",food,2,76,80
and i would have to agree with the masses in terms of service - delivery is their achilles' heel.,delivery,0,64,72
"the wait staff is friendly, and the food has gotten better and better!",food,2,36,40
"my entree of hot pot with seafood was full of imitation crabmeat with a couple pieces of shrimp and squid , and was unnecessarily heated with a burner.",squid,0,100,105
"we were seated promptly as we had reservations, however after that the service was slow.",service,0,71,78
"my gf and i still choose to eat there a lot because of diverse cocktails, the chill decor , and the decent sushi.",decor,2,84,89
"in such a crappy part of town to find a good value for lunch , this place is great.",lunch,2,55,60
the atmosphere is great!!!,atmosphere,2,4,14
"i have tried to make reservations , but both times, the hostess didn't have my name.",reservations,1,21,33
"decor is nice and minimalist, food simple yet very well presented and cooked, and the wine list matches the food very well.",food,2,30,34
"night without a reservation, we had to wait at the bar for a little while, but the manager was so nice and made our wait a great experience.",manager,2,83,90
i always get the shabu-shabu dinner and the beef is always fresh.,shabu-shabu dinner,1,17,35
we would like to thank marcelo and grace for a wonderful dining experience!!!,dining,2,57,63
"the pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.",fresh mozzarella,2,34,50
"this is some really good, inexpensive sushi .",sushi,2,38,43
"small servings for main entree , i had salmon (wasnt impressed) girlfriend had chicken, it was good.",entree,0,24,30
our tiny table for two (dinner plates hung over edge) was right in the middle of one of the lanes of waiter traffic.,table,0,9,14
"admittedly, this is not the place for gigantic pieces of fish overflowing the plate (and thank goodness, in my opinion) but for simple, elegant sushi there is no better place in new york or anywhere in the us.",fish,1,57,61
best drumsticks over rice and sour spicy soup in town!,sour spicy soup,2,30,45
"the staff is very kind and well trained, they're fast, they are always prompt to jump behind the bar and fix drinks, they know details of every item in the menu and make excelent recomendations.",staff,2,4,9
"we started with lox and mussels (the best ive ever had, ever) and had the cod and trout for dinner.",lox,2,16,19
"the food is outstanding and the service is quick, friendly and very professional.",service,2,32,39
went there with my wife and we had to wait for a table even though you could see there many that were empty with not reservation sigh on them.,table,0,49,54
"we were still sitting at the bar while we drank the sangria, but facing away from the bar when we turned back around, the $2 was gone the people next to us said the bartender took it.",bar,1,86,89
"while the ambiance and atmosphere were great, the food and service could have been a lot better.",service,0,59,66
"we are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura .",banana tempura,2,191,205
they have authentic indian at amazin prices.,indian,2,20,26
sometimes i get good food and ok service.,food,2,21,25
"the entree was bland and small, dessert was not inspired.",dessert,0,32,39
"the food came out wrong, the waiter was no where to be found and the wine showed up at the end of the meal .",meal,1,102,106
"the have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious, if i must recommend a dish it must be the pumkin tortelini.",food,2,98,102
"the large selection of bruschettas, paninis, tramezzinis keep the palate from stagnating.",tramezzinis,2,45,56
"as a long-time patron of mamoun's, i always figured that i had found the best late night food spot in the city.",food spot,2,89,98
"stay away from the two specialty rolls on the menu, though- too much avocado and rice will fill you up right quick.",avocado,0,69,76
"but when you are seated the waitresses are great, they explain everything on the menu, and the price of the food is really cheap for the service you get.",price,2,95,100
"to begin, we were told there was a 30 minute wait and started to leave, when the hostess offered to call us on our cell phone when the table was ready.",table,2,135,140
"please if your thinking about it go, and stay the wait you won't be disappointed.",wait,0,50,54
my friend ordered some of their special sushi rolls which had excellent presentation and tasted great!,sushi rolls,2,40,51
we were also seated promptly at the time of our reservation and the service was very quick and professional.,reservation,2,48,59
"the decor is dark, cool and soothing, while the food's presentation is spectacular, considering the low prices .",prices,2,104,110
"after dinner , take your date to the huge dance floor, probably one of the biggest you'll see in ny.",dinner,1,6,12
the only friendly staff member was the guy at the bar.,staff member,2,18,30
"nice atmosphere, the service was very pleasant and the desert was good.",desert,2,55,61
"the chicken pot pie is excpetiona, the cheeseburger huge and delictable, and the service professional wan warm.",the chicken pot pie,2,0,19
"delicious food, excellent service, and a pretty atmosphere make this a great choice for dinner and the $5.99 lunch buffet makes it an even better choice for lunch!",atmosphere,2,48,58
the pizza was pretty good and huge.,pizza,2,4,9
i really liked the noodle dishes at rice avenue compared to their green curry dish.,noodle dishes,2,19,32
"its not curry in a slurry crap, and regular run of the mill food.",curry,1,8,13
"the food is great, service is ok.",service,1,19,26
"only complaint would be that at an average cost of $12-$15 per meal, i'd like not to have to worry about finding a seat!",cost,0,43,47
i liked the food at this quasi-thai restaurant.,food,2,12,16
"i would never wait for a table to eat, it just is not that great.",table,1,25,30
"they might be all business at the counter when you give your order, but their food says i love you.",counter,0,34,41
the food was mediocre at best but it was the horrible service that made me vow never to go back.,service,0,54,61
great sushi experience.,sushi,2,6,11
"butter was melted, white wine warm, cheese oozing everywhere.",cheese,0,36,42
"overall, not worth the money .",money,0,23,28
"the only positive was the wait staff , which was prompt, knowledgable, and likeable.",wait staff,2,26,36
"not the food ,not the ambiance , not the service, i agree with the previous reviews you wait and wait , the wait staff are very rude and when you get in they are looking to get you right out .",food,1,8,12
"i recommend their pad see ew, pork chops or tofu plates .",tofu plates,2,44,55
stuffing yourself with japanese food is a rare thing.,japanese food,1,23,36
"you rarely have to wait for a seat and the currys (masaman, green, red) are full of flavor and come super spicy if you ask for it.",seat,2,30,34
"even if the food wasn't this good, the garden is a great place to sit outside and relax.",food,2,12,16
"at night, but it's hard to hear your own conversation with everyone else competing for that same luxury - the music playing in the background is also voluminous.",music,0,110,115
"still, try it once, since if you end up loving the food , it could be one of your best dining experiences.",food,1,51,55
i highly recommend caviar russe to anyone who wants delicious top grade caviar and fantastic service.,caviar,2,72,78
i would highly recommend this place to anyone looking for a casual atmosphere that whisks you away to the left bank of the river seine.,atmosphere,2,67,77
"the thali was small, thoroughly unremarkable, and $14.95.",thali,0,4,9
the food is delicious.,food,2,4,8
"when family came in he gave them apps to test their palets, and then ordered for them.",apps,1,33,37
"food was average and creme brulee was awful - the sugar was charred, not caramelized and smelled of kerosene.",food,1,0,4
the place is a bistro which means: simple dishes and wine served efficiently in a bustling atmosphere.,dishes,2,42,48
"no food snobs allowed, this place is for people who appreciate good food .",food,2,68,72
the entertainment was great they have shows that go on through out the dinner .,dinner,1,71,77
for those prices and the dressed up atmosphere you expect more and should get more.,atmosphere,0,36,46
the food is above average for midtown and sligtly better than some of the other heartland breweries in the city.,food,2,4,8
"my husband said the portions were very small, but if my main course was good to eat the portion would've been fine for me.",portions,0,20,28
"meanwhile, the bartender continued to pour champagne from his reserve after we had finished our bottle and we enjoyed an amuse of turnip soup with pureed basil , gratis.",turnip soup with pureed basil,2,130,159
"had we been stalling i could understand where they were coming from, but we had been there less than an hour and they hadn't even brought us a check yet!",check,0,143,148
really cool stauff inside.,stauff,2,12,18
the lox is always fresh too.,lox,2,4,7
the service was attentive without being overbearing and each dish we tried was wonderful from the spring rolls to the cod with pineapple tempura.,spring rolls,2,98,110
the service was fast and friendly and the food was very tasty and they had the best hot sauce to add to your meals .,meals,1,109,114
"the decor is vibrant and eye-pleasing with several semi-private boths on the right side of the dining hall, which are great for a date.",semi-private boths,2,51,69
"for appetizers, i recommend the shrimp fritters and dumplings .",dumplings,2,52,61
"the food is outstanding and the service is quick, friendly and very professional.",food,2,4,8
i ordered a chicken teriyaki dish and found that the chicken was extremely dry.,chicken teriyaki dish,0,12,33
"everything is always cooked to perfection, the service is excellent, the decor cool and understated.",decor,2,73,78
the place is small and cramped but the food is fantastic.,food,2,39,43
the grilled cheese at home afterwards was better.!!,grilled cheese,2,4,18
if i wanted to deal with a crappy scene and annoying customers i'd go out in manhattan.,scene,0,34,39
this place is always very crowded and popular.,place,2,5,10
like saying her bread comes from a special bakery when we have seen her buying it dowtown manhathan.,bread,0,16,21
the location is perfect.,location,2,4,12
after really enjoying ourselves at the bar we sat down at a table and had dinner.,table,1,60,65
"i found the food, service and value exceptional everytime i have been there.",service,2,18,25
"the portions are now very small, the sauces are overly-ambitious usually inedible while the service is still good, the restaurant, due to its popularity, seems frantic.",service,2,92,99
there are other people waiting !,waiting,0,23,30
20 minutes for our reservation but it gave us time to have a few cocktails and enjoy our surroundings and each other.,cocktails,2,65,74
"they did not have mayonnaise , forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",mayonnaise,0,18,28
they smell like they stuff them with old canned vegetables like the spinach mushroom calzone .,spinach mushroom calzone,0,68,92
i would highly recommend this place to anyone who is looking for a fine indian dining experience that is definitely a value for your dollar.,indian dining experience,2,72,96
"the highlight of the night was the mayonaisse for my side of fries i received from one of the food runners, which is not good considering the bill was nearly $100.",bill,0,142,146
the dim sum is delectable while the prices are quite easy on the wallet.,dim sum,2,4,11
"waiters tend to forget drinks completely, food portions are so tiny, two people have trouble sharing one entree.",drinks,1,23,29
"lunch came with pickels and slaw, no extra charge.",lunch,2,0,5
"the waitstaff were attentive, polite and helpful - an impressive feat in such close quarters.",waitstaff,2,4,13
"the seafood is amazing, there's a good wine list , and the ever-changing menu always offers some great surprises.",wine list,2,39,48
"over price , and small portions .",price,0,5,10
"after dinner, take your date to the huge dance floor , probably one of the biggest you'll see in ny.",dance floor,2,41,52
"but, nothing stands out about the cooking .",cooking,1,34,41
"the menu is prix fixe, so be prepared to spend at least $60 per person, but it is well worth itsuperb food.",menu,0,4,8
"to my right, the hostess stood over a busboy and hissed rapido, rapido as he tried to clear and re-set a table for six.",busboy,1,38,44
"just because it's cheap does not mean the portions are small or the food is nasty, it is great!",portions,2,42,50
"we had great desserts (including the best cannoli i've ever had) and then they offered an after dinner drink, on the house.",desserts,2,13,21
i don't usually order wine with indian so i can't comment on their wine list or their wines.,indian,1,32,38
i would have gotten some cole slaw and a knish if my stomach had more space.,cole slaw,1,25,34
our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,orrechiete with sausage and chicken,2,27,62
"even if the food wasn't this good, the garden is a great place to sit outside and relax.",garden,2,39,45
try the times square cocktail -- ginger lemonade with vodka (also available without vodka.),times square cocktail,2,8,29
"the food was delicious, the atmosphere was relaxed, and we have now adopted plate 347 as our secret on second!",food,2,4,8
"we parked on the block of nina's the place looked nice, with people obviously enjoying their pizzas .",pizzas,2,93,99
after dealing with subpar pizza all over the kensington neighborhood - i've found little toninos.,pizza,0,26,31
i went to df for valentines day dinner .,valentines day dinner,1,17,38
the hostess and the waitress were incredibly rude and did everything they could to rush us out.,hostess,0,4,11
i was back-to-back with the diner at the table behind me and wait staff had to hoist trays over our heads as they squeezed past us again and again.,table,0,41,46
we were fast to order the appetizer platter since we were very hungry.,appetizer platter,1,26,43
"fresh, authentic, french cuisine in substantial portions.",french cuisine,2,18,32
it was like the servers forgot that they actually worked there and instead wanted to hang out and be cool.,servers,0,16,23
"i am not a vegetarian but, almost all the dishes were great.",dishes,2,42,48
"(food was delivered by a busboy, not waiter ) we got no cheese offered for the pasta, our water and wine glasses remained empty our entire meal, when we would have easily spent another $20 on wine.",waiter,0,37,43
the server was really cool and served us our food and drinks with a smile.,server,2,4,10
"the chicken and steak were seasoned and cooked to perfection, and the lamb sandwhich is great for heartier appetites.",lamb sandwhich,2,70,84
